Date,SQZ_On,RSI_7,J,K,Daily_Range,RSI_14,Volatilidade14,ATR_14,ATR_7,BBstd,Volatilidade30,Log_Retorno_t-1,JanelaMedia14,Upper_Shadow,Lower_Shadow,Real_Body
2019-07-05,0,77.90562693118088,96.88586419180069,90.00042461077102,0.46794149831162457,70.6153564849621,0.012667516691053893,0.4686771954339259,0.46446749880095034,0.6144384435089896,0.013081437899267662,0.011419295629421155,21.595436913626536,0.029997313647516677,0.1019867177541478,0.3359574669099601
2019-07-12,0,48.183262896120404,49.265812183081266,70.82619945561564,0.5999227697378657,57.14629741179206,0.011455143565040985,0.45245149428326925,0.4765122725382618,0.6661912079005352,0.012178382285971977,-0.0013455328153631418,21.930883407592773,0.005997386735604238,0.0,-0.5939253830022615
2019-07-19,0,46.480704375885715,40.843968217611106,52.28976614532454,0.5279331064508348,53.226919589169164,0.013467118637536458,0.44994515251729766,0.43880607559767676,0.33773186930444216,0.013359266575819196,0.026299900642399017,22.031358855111257,0.11998397190620125,0.0,-0.40794913454463355
2019-07-26,1,51.42289649824736,37.734755173904176,49.86017989987603,0.6419184796330768,54.387498435718854,0.016265983033190295,0.4867988118394645,0.5973579716082439,0.2954770202003376,0.014847296653783391,-0.03127422964536596,22.108918598720006,0.13798391877832827,0.2819639254282542,0.2219706354264943
2019-08-02,0,31.663156353257605,-6.42568023804575,16.583482680426563,0.37211347240092607,40.564947746490546,0.01933170637150143,0.5624680045452849,0.6784160664936424,0.5002118237971842,0.01573941800947375,0.002153170481925062,21.807244300842285,0.12003698055159617,0.2100637432077761,-0.0420127486415538
2019-08-09,0,58.78260715258379,90.10433573914867,59.854429214257614,0.3901173217071836,54.794037597350105,0.021035872430239137,0.6195521279396797,0.603184861549683,0.537811810712157,0.017014137272846102,0.005420091275929499,21.67216627938407,0.005999969181058162,0.22206630422955342,-0.16205104829657202
2019-08-16,0,42.259668481030126,27.932207261467738,37.30142464364721,0.4482097451956797,45.10489160266166,0.022951313187073785,0.6117890991574243,0.5270266960413191,0.5753132584162525,0.01906590591477803,-0.0028535353917204,21.31332778930664,0.036838430102879016,0.13507645511322153,-0.27629485997957914
2019-08-23,0,29.856578934875913,-1.2647734759295162,16.0173842200163,0.5955676294482792,38.05496493995474,0.0206544548126002,0.5729298448130586,0.4933768545476599,0.5662802759661334,0.019082910039376073,-0.015972021064961848,21.221268517630442,0.46049113275838494,0.0982380552481068,0.036838441441787495
2019-08-30,0,48.77629950675699,55.407886412240074,38.05279573293426,0.4789100287860464,46.00731279038111,0.01173050852571556,0.512366967352458,0.5289061499921017,0.5225406239724889,0.01815507160537836,0.005294763247731212,20.847354888916016,0.018420535074074706,0.09823798864434607,-0.3622515050676256
2019-09-06,0,69.17513151974325,91.83131420334252,57.51926742260659,0.6019727829189705,57.85898616177142,0.015882340523136584,0.5487380919484873,0.5887442662575962,0.4530813671466592,0.018927809351956183,0.02801114804499858,20.6968195778983,0.03685471797481554,0.0,0.565118064944155
